y,age,campaign,pdays,cons_conf_idx,nr_employed,job,marital,education,default,housing,contact,month,day_of_week,poutcome
0,40,1,999,-36.4,5191.0,admin,married,basic,no,no,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,services,married,basic,unknown,no,telephone,may,mon,nonexistent
0,59,1,999,-36.4,5191.0,admin,married,professional course,no,no,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,blue-collar,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,24,1,999,-36.4,5191.0,technician,single,professional course,no,yes,telephone,may,mon,nonexistent
0,25,1,999,-36.4,5191.0,services,single,high school,no,yes,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,blue-collar,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,25,1,999,-36.4,5191.0,services,single,high school,no,yes,telephone,may,mon,nonexistent
0,29,1,999,-36.4,5191.0,blue-collar,single,high school,no,no,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,housemaid,divorced,basic,no,yes,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,retired,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,46,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,management,single,basic,unknown,no,telephone,may,mon,nonexistent
0,30,1,999,-36.4,5191.0,unemployed,married,high school,no,no,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,retired,single,high school,no,yes,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,technician,single,high school,no,yes,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,admin,married,high school,no,yes,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,technician,married,university degree,no,no,telephone,may,mon,nonexistent
0,59,1,999,-36.4,5191.0,technician,married,unknown,no,yes,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,self-employed,married,basic,unknown,no,telephone,may,mon,nonexistent
